# DM      Sigma      Time (s)     Sample    Downfact    Width_int    With_obs    Spec_ind    Scat_tau_ref   Freq_ref
1832.990    8.88    2.08003       25391        8    0.00073    0.000735    0.000000    0.000000    1399.70
 1501.760    7.14    9.39590      114696       22    0.00183    0.001832    0.000000    0.000000    1399.70
 696.100    9.50    12.29292      150060        8    0.00071    0.000715    0.000000    0.000000    1399.70
 1218.450    12.59    16.00233      195341        3    0.00025    0.000263    0.000000    0.000000    1399.70
 691.780    22.16    20.25562      247261        1    0.00009    0.000122    0.000000    0.000000    1399.70
 1977.200    5.93    26.45557      322944       25    0.00210    0.002102    0.000000    0.000000    1399.70
 464.620    10.76    33.19611      405226        5    0.00047    0.000477    0.000000    0.000000    1399.70
 1789.250    11.35    37.34405      455860        6    0.00049    0.000497    0.000000    0.000000    1399.70
 1413.690    13.09    41.91748      511688        6    0.00053    0.000536    0.000000    0.000000    1399.70
 1665.420    4.48    46.11965      562984       73    0.00604    0.006041    0.000000    0.000000    1399.70
 1946.770    11.13    53.78367      656539        7    0.00058    0.000586    0.000000    0.000000    1399.70
 664.920    6.21    62.04408      757374       32    0.00264    0.002641    0.000000    0.000000    1399.70
 35.500    7.40    63.45720      774624       12    0.00100    0.001003    0.000000    0.000000    1399.70
 432.900    3.70    64.38232      785917       60    0.00499    0.004991    0.000000    0.000000    1399.70
 1774.920    5.51    68.69107      838514       26    0.00215    0.002152    0.000000    0.000000    1399.70
 247.560    4.77    71.68131      875016       91    0.00751    0.007510    0.000000    0.000000    1399.70
 776.930    5.56    73.95025      902713       43    0.00360    0.003601    0.000000    0.000000    1399.70
 1570.190    12.17    78.14545      953924        1    0.00005    0.000096    0.000000    0.000000    1399.70
 654.570    10.10    82.26062     1004158        8    0.00068    0.000685    0.000000    0.000000    1399.70
 566.910    4.02    84.22294     1028112      103    0.00849    0.008490    0.000000    0.000000    1399.70
 
